NAME,LATITUDE,LONGITUDE,PUNTO ZWF,PROPIETARIO,CONTRATO,SECTOR
ZWF AREA 74,4.31372,-72.521383,POINT (-72.521383 4.31372),EMPRESA,BPIN 20238078520593,TURISTICO
ZWF AREA 75,4.360975,-72.710353,POINT (-72.710353 4.360975),ENTIDAD,BPIN 20238478108698,INDUSTRIAL
ZWF AREA 76,4.299999,-72.006579,POINT (-72.006579 4.299999),PARTICULAR,BPIN 20233462388222,URBANO
ZWF AREA 77,4.19847,-72.964155,POINT (-72.964155 4.19847),GOBIERNO,BPIN 20231113656781,URBANO
ZWF AREA 78,4.565226,-72.729693,POINT (-72.729693 4.565226),ENTIDAD,BPIN 20231173242037,RURAL
ZWF AREA 79,4.43912,-72.673499,POINT (-72.673499 4.43912),PARTICULAR,BPIN 20239323366646,INDUSTRIAL
ZWF AREA 80,4.839494,-72.895399,POINT (-72.895399 4.839494),PARTICULAR,BPIN 20234741520164,URBANO
ZWF AREA 81,4.456925,-72.59742,POINT (-72.59742 4.456925),PARTICULAR,BPIN 20231182345378,URBANO
ZWF AREA 82,4.243684,-72.703161,POINT (-72.703161 4.243684),ENTIDAD,BPIN 20237114381689,TURISTICO
ZWF AREA 83,4.969078,-72.767971,POINT (-72.767971 4.969078),PARTICULAR,BPIN 20235802687358,URBANO
ZWF AREA 84,4.183095,-72.891975,POINT (-72.891975 4.183095),EMPRESA,BPIN 20233720735986,URBANO
ZWF AREA 85,4.460458,-72.557885,POINT (-72.557885 4.460458),EMPRESA,BPIN 20232584598211,INDUSTRIAL
ZWF AREA 86,4.288679,-72.98131,POINT (-72.98131 4.288679),EMPRESA,BPIN 20237768016967,RURAL
ZWF AREA 87,4.519563,-72.966096,POINT (-72.966096 4.519563),GOBIERNO,BPIN 20238220979231,INDUSTRIAL
ZWF AREA 88,4.463288,-72.527958,POINT (-72.527958 4.463288),ENTIDAD,BPIN 20237587873551,TURISTICO
ZWF AREA 89,4.982435,-72.588259,POINT (-72.588259 4.982435),PARTICULAR,BPIN 20237343517498,URBANO
ZWF AREA 90,4.854217,-72.038882,POINT (-72.038882 4.854217),PARTICULAR,BPIN 20235373607146,INDUSTRIAL
ZWF AREA 91,4.949614,-72.167637,POINT (-72.167637 4.949614),PARTICULAR,BPIN 20235204456490,INDUSTRIAL
ZWF AREA 92,4.681347,-72.167576,POINT (-72.167576 4.681347),ENTIDAD,BPIN 20237909680182,RURAL
ZWF AREA 93,4.822564,-72.905226,POINT (-72.905226 4.822564),GOBIERNO,BPIN 20238086455955,TURISTICO
ZWF AREA 94,4.032066,-72.539464,POINT (-72.539464 4.032066),EMPRESA,BPIN 20238206887995,URBANO
ZWF AREA 95,4.741294,-72.886001,POINT (-72.886001 4.741294),ENTIDAD,BPIN 20231314639368,TURISTICO
ZWF AREA 96,4.74775,-72.476541,POINT (-72.476541 4.74775),GOBIERNO,BPIN 20238649062958,RURAL
ZWF AREA 97,4.244863,-72.250196,POINT (-72.250196 4.244863),GOBIERNO,BPIN 20237958814582,TURISTICO
ZWF AREA 98,4.230404,-72.989893,POINT (-72.989893 4.230404),GOBIERNO,BPIN 20237790646634,RURAL
ZWF AREA 99,4.472067,-72.724451,POINT (-72.724451 4.472067),ENTIDAD,BPIN 20238398650512,RURAL
ZWF AREA 100,4.021749,-72.923203,POINT (-72.923203 4.021749),PARTICULAR,BPIN 20235284711998,RURAL
ZWF AREA 101,4.298825,-72.048476,POINT (-72.048476 4.298825),ENTIDAD,BPIN 20238546406985,URBANO
ZWF AREA 102,4.522724,-72.338422,POINT (-72.338422 4.522724),PARTICULAR,BPIN 20235677245491,URBANO
ZWF AREA 103,4.358624,-72.419091,POINT (-72.419091 4.358624),GOBIERNO,BPIN 20238732983096,TURISTICO
ZWF AREA 104,4.862571,-72.014467,POINT (-72.014467 4.862571),GOBIERNO,BPIN 20238991323944,URBANO
ZWF AREA 105,4.77131,-72.162634,POINT (-72.162634 4.77131),GOBIERNO,BPIN 20237933498613,URBANO
ZWF AREA 106,4.845706,-72.150475,POINT (-72.150475 4.845706),EMPRESA,BPIN 20236526109737,RURAL
ZWF AREA 107,4.855229,-72.767909,POINT (-72.767909 4.855229),PARTICULAR,BPIN 20234077975240,URBANO
ZWF AREA 108,4.639908,-72.825135,POINT (-72.825135 4.639908),PARTICULAR,BPIN 20233513312537,TURISTICO
ZWF AREA 109,4.017951,-72.325646,POINT (-72.325646 4.017951),EMPRESA,BPIN 20234478750447,URBANO
ZWF AREA 110,4.132165,-72.295083,POINT (-72.295083 4.132165),PARTICULAR,BPIN 20235455875685,INDUSTRIAL
ZWF AREA 111,4.855152,-72.721743,POINT (-72.721743 4.855152),EMPRESA,BPIN 20238143066221,INDUSTRIAL
ZWF AREA 112,4.06379,-72.181878,POINT (-72.181878 4.06379),PARTICULAR,BPIN 20237991035241,TURISTICO
ZWF AREA 113,4.893439,-72.838228,POINT (-72.838228 4.893439),PARTICULAR,BPIN 20232497673258,URBANO
ZWF AREA 114,4.433428,-72.138161,POINT (-72.138161 4.433428),GOBIERNO,BPIN 20236869936319,INDUSTRIAL
ZWF AREA 115,4.032087,-72.982648,POINT (-72.982648 4.032087),PARTICULAR,BPIN 20233214122993,TURISTICO
ZWF AREA 116,4.297989,-72.620174,POINT (-72.620174 4.297989),ENTIDAD,BPIN 20233085228060,INDUSTRIAL
ZWF AREA 117,4.481533,-72.978047,POINT (-72.978047 4.481533),GOBIERNO,BPIN 20236845713759,TURISTICO
ZWF AREA 118,4.58001,-72.196375,POINT (-72.196375 4.58001),EMPRESA,BPIN 20237990676965,TURISTICO
ZWF AREA 119,4.764524,-72.012045,POINT (-72.012045 4.764524),ENTIDAD,BPIN 20236256388330,INDUSTRIAL
ZWF AREA 120,4.676092,-72.694469,POINT (-72.694469 4.676092),EMPRESA,BPIN 20232065130505,INDUSTRIAL
ZWF AREA 121,4.220385,-72.620996,POINT (-72.620996 4.220385),ENTIDAD,BPIN 20233744789783,URBANO
ZWF AREA 122,4.278279,-72.718457,POINT (-72.718457 4.278279),PARTICULAR,BPIN 20235521251967,INDUSTRIAL
ZWF AREA 123,4.902519,-72.312169,POINT (-72.312169 4.902519),PARTICULAR,BPIN 20239113405472,RURAL
ZWF AREA 124,4.58957,-72.155281,POINT (-72.155281 4.58957),EMPRESA,BPIN 20239512318379,TURISTICO
ZWF AREA 125,4.839993,-72.964704,POINT (-72.964704 4.839993),EMPRESA,BPIN 20237523040215,URBANO
ZWF AREA 126,4.669471,-72.433333,POINT (-72.433333 4.669471),PARTICULAR,BPIN 20231250032211,INDUSTRIAL
ZWF AREA 127,4.54732,-72.534527,POINT (-72.534527 4.54732),ENTIDAD,BPIN 20238699761108,TURISTICO
ZWF AREA 128,4.171452,-72.776207,POINT (-72.776207 4.171452),GOBIERNO,BPIN 20234295279348,URBANO
ZWF AREA 129,4.744561,-72.796705,POINT (-72.796705 4.744561),GOBIERNO,BPIN 20239297107359,RURAL
ZWF AREA 130,4.531962,-72.176785,POINT (-72.176785 4.531962),GOBIERNO,BPIN 20236711245406,INDUSTRIAL
ZWF AREA 131,4.337185,-72.258353,POINT (-72.258353 4.337185),ENTIDAD,BPIN 20235575141381,TURISTICO
ZWF AREA 132,4.472764,-72.09587,POINT (-72.09587 4.472764),ENTIDAD,BPIN 20231358354795,TURISTICO
ZWF AREA 133,4.714517,-72.035444,POINT (-72.035444 4.714517),PARTICULAR,BPIN 20236707176170,TURISTICO
ZWF AREA 134,4.455265,-72.868127,POINT (-72.868127 4.455265),ENTIDAD,BPIN 20239804759836,TURISTICO
ZWF AREA 135,4.451448,-72.634167,POINT (-72.634167 4.451448),PARTICULAR,BPIN 20232061390980,TURISTICO
ZWF AREA 136,4.966081,-72.195665,POINT (-72.195665 4.966081),EMPRESA,BPIN 20238774399171,INDUSTRIAL
ZWF AREA 137,4.795586,-72.95457,POINT (-72.95457 4.795586),ENTIDAD,BPIN 20235528892303,URBANO
ZWF AREA 138,4.629094,-72.103861,POINT (-72.103861 4.629094),GOBIERNO,BPIN 20239607561767,TURISTICO
ZWF AREA 139,4.711157,-72.211744,POINT (-72.211744 4.711157),GOBIERNO,BPIN 20232652288232,RURAL
ZWF AREA 140,4.939726,-72.987234,POINT (-72.987234 4.939726),ENTIDAD,BPIN 20238582959282,RURAL
ZWF AREA 141,4.251924,-72.480177,POINT (-72.480177 4.251924),GOBIERNO,BPIN 20237289381757,URBANO
ZWF AREA 142,4.449686,-72.736233,POINT (-72.736233 4.449686),GOBIERNO,BPIN 20231243165993,URBANO
ZWF AREA 143,4.182034,-72.806435,POINT (-72.806435 4.182034),EMPRESA,BPIN 20233573406978,TURISTICO
ZWF AREA 144,4.945052,-72.165979,POINT (-72.165979 4.945052),PARTICULAR,BPIN 20238250910648,URBANO
ZWF AREA 145,4.780648,-72.900342,POINT (-72.900342 4.780648),EMPRESA,BPIN 20236741888011,URBANO
ZWF AREA 146,4.721089,-72.795705,POINT (-72.795705 4.721089),ENTIDAD,BPIN 20233654169736,URBANO
ZWF AREA 147,4.443248,-72.821934,POINT (-72.821934 4.443248),GOBIERNO,BPIN 20236684101433,RURAL
ZWF AREA 148,4.962243,-72.531328,POINT (-72.531328 4.962243),ENTIDAD,BPIN 20237441933828,TURISTICO
ZWF AREA 149,4.997718,-72.315764,POINT (-72.315764 4.997718),GOBIERNO,BPIN 20238444751166,RURAL
ZWF AREA 150,4.495315,-72.658145,POINT (-72.658145 4.495315),PARTICULAR,BPIN 20232095744081,TURISTICO
ZWF AREA 151,4.877908,-72.414496,POINT (-72.414496 4.877908),ENTIDAD,BPIN 20235899146061,URBANO
ZWF AREA 152,4.893101,-72.756542,POINT (-72.756542 4.893101),EMPRESA,BPIN 20234596467762,INDUSTRIAL
ZWF AREA 153,4.77073,-72.888851,POINT (-72.888851 4.77073),ENTIDAD,BPIN 20239394508574,URBANO
ZWF AREA 154,4.535601,-72.295131,POINT (-72.295131 4.535601),PARTICULAR,BPIN 20231298744385,URBANO
ZWF AREA 155,4.989367,-72.627374,POINT (-72.627374 4.989367),PARTICULAR,BPIN 20231038861191,URBANO
ZWF AREA 156,4.780459,-72.526292,POINT (-72.526292 4.780459),PARTICULAR,BPIN 20234989635722,TURISTICO
ZWF AREA 157,4.031122,-72.488298,POINT (-72.488298 4.031122),ENTIDAD,BPIN 20236953311847,TURISTICO
ZWF AREA 158,4.506208,-72.520966,POINT (-72.520966 4.506208),GOBIERNO,BPIN 20231343870259,TURISTICO
ZWF AREA 159,4.181118,-72.559073,POINT (-72.559073 4.181118),ENTIDAD,BPIN 20238929189003,TURISTICO
ZWF AREA 160,4.392699,-72.71177,POINT (-72.71177 4.392699),PARTICULAR,BPIN 20236278020185,INDUSTRIAL
ZWF AREA 161,4.297531,-72.338656,POINT (-72.338656 4.297531),ENTIDAD,BPIN 20235685070419,TURISTICO
ZWF AREA 162,4.316237,-72.123186,POINT (-72.123186 4.316237),EMPRESA,BPIN 20238886225049,RURAL
ZWF AREA 163,4.692528,-72.584147,POINT (-72.584147 4.692528),ENTIDAD,BPIN 20231624904096,TURISTICO
ZWF AREA 164,4.330552,-72.670759,POINT (-72.670759 4.330552),GOBIERNO,BPIN 20231400651562,URBANO
ZWF AREA 165,4.312623,-72.419102,POINT (-72.419102 4.312623),EMPRESA,BPIN 20233675707615,RURAL
ZWF AREA 166,4.494532,-72.565034,POINT (-72.565034 4.494532),GOBIERNO,BPIN 20231727248299,INDUSTRIAL
ZWF AREA 167,4.614166,-72.295538,POINT (-72.295538 4.614166),PARTICULAR,BPIN 20239831288845,INDUSTRIAL
ZWF AREA 168,4.627665,-72.665766,POINT (-72.665766 4.627665),PARTICULAR,BPIN 20237804807510,RURAL
ZWF AREA 169,4.159259,-72.55279,POINT (-72.55279 4.159259),GOBIERNO,BPIN 20235894314277,INDUSTRIAL
ZWF AREA 170,4.12514,-72.147955,POINT (-72.147955 4.12514),PARTICULAR,BPIN 20234684207196,URBANO
ZWF AREA 171,4.179668,-72.314651,POINT (-72.314651 4.179668),GOBIERNO,BPIN 20235839653389,URBANO
ZWF AREA 172,4.826221,-72.167212,POINT (-72.167212 4.826221),PARTICULAR,BPIN 20237863866666,INDUSTRIAL
ZWF AREA 173,4.775439,-72.603032,POINT (-72.603032 4.775439),PARTICULAR,BPIN 20237669482941,INDUSTRIAL
ZWF AREA 174,4.736328,-72.575042,POINT (-72.575042 4.736328),PARTICULAR,BPIN 20234823209143,INDUSTRIAL
ZWF AREA 175,4.427723,-72.227253,POINT (-72.227253 4.427723),GOBIERNO,BPIN 20239914967782,TURISTICO
ZWF AREA 176,4.923603,-72.516728,POINT (-72.516728 4.923603),ENTIDAD,BPIN 20237376490640,INDUSTRIAL
ZWF AREA 177,4.251394,-72.554179,POINT (-72.554179 4.251394),EMPRESA,BPIN 20232820528593,TURISTICO
ZWF AREA 178,4.249383,-72.361715,POINT (-72.361715 4.249383),ENTIDAD,BPIN 20239189927721,TURISTICO
ZWF AREA 179,4.086674,-72.683278,POINT (-72.683278 4.086674),ENTIDAD,BPIN 20234203934078,URBANO
ZWF AREA 180,4.294009,-72.383999,POINT (-72.383999 4.294009),EMPRESA,BPIN 20238219768190,TURISTICO
ZWF AREA 181,4.264592,-72.020042,POINT (-72.020042 4.264592),PARTICULAR,BPIN 20232354049369,RURAL
ZWF AREA 182,4.814121,-72.473243,POINT (-72.473243 4.814121),PARTICULAR,BPIN 20232230910074,URBANO
ZWF AREA 183,4.127384,-72.42429,POINT (-72.42429 4.127384),PARTICULAR,BPIN 20237078621611,INDUSTRIAL
ZWF AREA 184,4.44576,-72.80742,POINT (-72.80742 4.44576),PARTICULAR,BPIN 20238493511660,TURISTICO
ZWF AREA 185,4.157599,-72.395272,POINT (-72.395272 4.157599),GOBIERNO,BPIN 20237378978895,URBANO
ZWF AREA 186,4.162408,-72.571177,POINT (-72.571177 4.162408),GOBIERNO,BPIN 20238085281442,TURISTICO
ZWF AREA 187,4.056156,-72.409705,POINT (-72.409705 4.056156),EMPRESA,BPIN 20238756350916,TURISTICO
ZWF AREA 188,4.378577,-72.468042,POINT (-72.468042 4.378577),GOBIERNO,BPIN 20231757705328,URBANO
ZWF AREA 189,4.942848,-72.290706,POINT (-72.290706 4.942848),ENTIDAD,BPIN 20231836663744,URBANO
ZWF AREA 190,4.185185,-72.070692,POINT (-72.070692 4.185185),GOBIERNO,BPIN 20231369029178,RURAL
ZWF AREA 191,4.848505,-72.591951,POINT (-72.591951 4.848505),GOBIERNO,BPIN 20235016435645,URBANO
ZWF AREA 192,4.479552,-72.914178,POINT (-72.914178 4.479552),PARTICULAR,BPIN 20234116495079,INDUSTRIAL
ZWF AREA 193,4.812657,-72.08966,POINT (-72.08966 4.812657),GOBIERNO,BPIN 20238509035386,TURISTICO
ZWF AREA 194,4.782812,-72.669672,POINT (-72.669672 4.782812),GOBIERNO,BPIN 20239832980561,INDUSTRIAL
ZWF AREA 195,4.887623,-72.658601,POINT (-72.658601 4.887623),GOBIERNO,BPIN 20237828272045,RURAL
ZWF AREA 196,4.682892,-72.034977,POINT (-72.034977 4.682892),EMPRESA,BPIN 20234384794385,TURISTICO
ZWF AREA 197,4.332092,-72.955097,POINT (-72.955097 4.332092),EMPRESA,BPIN 20239386139149,INDUSTRIAL
ZWF AREA 198,4.861705,-72.579501,POINT (-72.579501 4.861705),ENTIDAD,BPIN 20236348809458,URBANO
ZWF AREA 199,4.325867,-72.99264,POINT (-72.99264 4.325867),PARTICULAR,BPIN 20239753160090,RURAL
ZWF AREA 200,4.605505,-72.884611,POINT (-72.884611 4.605505),ENTIDAD,BPIN 20238399595472,URBANO
ZWF AREA 201,4.746117,-72.545911,POINT (-72.545911 4.746117),PARTICULAR,BPIN 20235373568221,RURAL
ZWF AREA 202,4.742491,-72.255393,POINT (-72.255393 4.742491),ENTIDAD,BPIN 20235172254821,INDUSTRIAL
ZWF AREA 203,4.515329,-72.736087,POINT (-72.736087 4.515329),GOBIERNO,BPIN 20234521956323,INDUSTRIAL
ZWF AREA 204,4.44013,-72.696261,POINT (-72.696261 4.44013),ENTIDAD,BPIN 20237212210844,URBANO
ZWF AREA 205,4.46891,-72.89089,POINT (-72.89089 4.46891),ENTIDAD,BPIN 20232762867592,URBANO
ZWF AREA 206,4.13714,-72.515059,POINT (-72.515059 4.13714),ENTIDAD,BPIN 20237665544370,INDUSTRIAL
ZWF AREA 207,4.137229,-72.33215,POINT (-72.33215 4.137229),EMPRESA,BPIN 20238683251313,RURAL
ZWF AREA 208,4.920635,-72.978021,POINT (-72.978021 4.920635),EMPRESA,BPIN 20235169250000,TURISTICO
ZWF AREA 209,4.146329,-72.613222,POINT (-72.613222 4.146329),ENTIDAD,BPIN 20238119552895,RURAL
ZWF AREA 210,4.578318,-72.661824,POINT (-72.661824 4.578318),PARTICULAR,BPIN 20235933198593,RURAL
ZWF AREA 211,4.48377,-72.506392,POINT (-72.506392 4.48377),EMPRESA,BPIN 20235486658666,URBANO
ZWF AREA 212,4.483605,-72.83715,POINT (-72.83715 4.483605),GOBIERNO,BPIN 20234900559483,TURISTICO
ZWF AREA 213,4.953086,-72.057921,POINT (-72.057921 4.953086),EMPRESA,BPIN 20233296996062,URBANO
ZWF AREA 214,4.36292,-72.120728,POINT (-72.120728 4.36292),GOBIERNO,BPIN 20236537921318,INDUSTRIAL
ZWF AREA 215,4.139087,-72.114074,POINT (-72.114074 4.139087),ENTIDAD,BPIN 20236751039159,TURISTICO
ZWF AREA 216,4.902825,-72.331885,POINT (-72.331885 4.902825),ENTIDAD,BPIN 20231481186469,TURISTICO
ZWF AREA 217,4.350405,-72.667205,POINT (-72.667205 4.350405),ENTIDAD,BPIN 20232324705435,RURAL
ZWF AREA 218,4.413944,-72.163171,POINT (-72.163171 4.413944),ENTIDAD,BPIN 20237074662691,RURAL
ZWF AREA 219,4.87832,-72.927722,POINT (-72.927722 4.87832),GOBIERNO,BPIN 20233327446778,RURAL
ZWF AREA 220,4.929323,-72.779901,POINT (-72.779901 4.929323),EMPRESA,BPIN 20236096085052,URBANO
ZWF AREA 221,4.374411,-72.098027,POINT (-72.098027 4.374411),EMPRESA,BPIN 20232670455670,TURISTICO
ZWF AREA 222,4.74343,-72.380134,POINT (-72.380134 4.74343),GOBIERNO,BPIN 20233404944457,RURAL
ZWF AREA 223,4.748325,-72.041793,POINT (-72.041793 4.748325),PARTICULAR,BPIN 20238828640153,INDUSTRIAL
ZWF AREA 224,4.864423,-72.636583,POINT (-72.636583 4.864423),GOBIERNO,BPIN 20232065346419,TURISTICO
ZWF AREA 225,4.517038,-72.894257,POINT (-72.894257 4.517038),EMPRESA,BPIN 20236971183965,URBANO
ZWF AREA 226,4.052356,-72.784408,POINT (-72.784408 4.052356),EMPRESA,BPIN 20238512882045,TURISTICO
